TSO_yrs,BIO_ZONE,SEVERITY_cl,se_Live_C,n_Live_C,se_Dead_C_new_h,n_Dead_C_new_h,ci_Live_C_lower,ci_Live_C_upper,ci_Dead_C_lower,ci_Dead_C_upper,Carbon_Type,Mean_Carbon
33,Balsam_fir-white_birch,Low,6.42,12,1.04,12.00,50.15,75.32,0.09,4.17,Live_Carbon,62.74
33,Balsam_fir-white_birch,Low,6.42,12,1.04,12.00,50.15,75.32,0.09,4.17,Dead_Carbon,2.13
33,Balsam_fir-white_birch,Moderate,3.65,15,1.15,15.00,48.04,62.36,1.25,5.77,Live_Carbon,55.20
33,Balsam_fir-white_birch,Moderate,3.65,15,1.15,15.00,48.04,62.36,1.25,5.77,Dead_Carbon,3.51
33,Balsam_fir-white_birch,High,5.35,12,0.34,12.00,28.36,49.31,0.26,1.60,Live_Carbon,38.84
33,Balsam_fir-white_birch,High,5.35,12,0.34,12.00,28.36,49.31,0.26,1.60,Dead_Carbon,0.93
33,Balsam_fir-yellow_birch,Low,6.48,13,2.22,13.00,57.28,82.70,-1.00,7.70,Live_Carbon,69.99
33,Balsam_fir-yellow_birch,Low,6.48,13,2.22,13.00,57.28,82.70,-1.00,7.70,Dead_Carbon,3.35
33,Balsam_fir-yellow_birch,Moderate,2.85,28,0.42,28.00,46.35,57.51,1.32,2.96,Live_Carbon,51.93
33,Balsam_fir-yellow_birch,Moderate,2.85,28,0.42,28.00,46.35,57.51,1.32,2.96,Dead_Carbon,2.14
33,Balsam_fir-yellow_birch,High,2.74,25,0.82,25.00,29.35,40.08,0.21,3.43,Live_Carbon,34.72
33,Balsam_fir-yellow_birch,High,2.74,25,0.82,25.00,29.35,40.08,0.21,3.43,Dead_Carbon,1.82
34,Balsam_fir-white_birch,High,5.96,10,0.84,10.00,25.02,48.39,-0.09,3.22,Live_Carbon,36.71
34,Balsam_fir-white_birch,High,5.96,10,0.84,10.00,25.02,48.39,-0.09,3.22,Dead_Carbon,1.56
34,Balsam_fir-yellow_birch,Moderate,6.42,12,0.35,12.00,44.53,69.70,-0.12,1.26,Live_Carbon,57.11
34,Balsam_fir-yellow_birch,Moderate,6.42,12,0.35,12.00,44.53,69.70,-0.12,1.26,Dead_Carbon,0.57
35,Balsam_fir-yellow_birch,Low,10.84,11,1.81,11.00,58.91,101.42,-0.39,6.72,Live_Carbon,80.16
35,Balsam_fir-yellow_birch,Low,10.84,11,1.81,11.00,58.91,101.42,-0.39,6.72,Dead_Carbon,3.16
35,Balsam_fir-yellow_birch,Moderate,5.89,12,0.74,12.00,51.34,74.43,-0.02,2.88,Live_Carbon,62.88
35,Balsam_fir-yellow_birch,Moderate,5.89,12,0.74,12.00,51.34,74.43,-0.02,2.88,Dead_Carbon,1.43
38,Balsam_fir-white_birch,High,3.44,15,1.26,15.00,38.37,51.86,0.14,5.07,Live_Carbon,45.11
38,Balsam_fir-white_birch,High,3.44,15,1.26,15.00,38.37,51.86,0.14,5.07,Dead_Carbon,2.60
